콘텐츠제목,콘텐츠ID,콘텐츠타입ID
황성금리해수욕장,2723774,12
사량도 대항해수욕장,2723514,12
금장해수욕장,2723794,12
설레미해수욕장,2723780,12
하나개해수욕장,129254,12
달산포해수욕장,2758237,12
수문해수욕장,126295,12
대천해수욕장스카이바이크,2750944,28
오봉산해수욕장,2750440,12
외달도 해수욕장,2388283,12
짱뚱어해수욕장,2723802,12
솔개해수욕장,2788450,12
안면해수욕장,128905,12
구시포해수욕장,126290,12
기사문해수욕장,2710823,12
잔교리해수욕장,2710829,12
광진해수욕장,2713784,12
동산포해수욕장,2710849,12
대천해수욕장,127866,12
구름포해수욕장,128892,12
광암해수욕장,2723589,12
영일대해수욕장,127698,12
망치몽돌해수욕장,2723624,12
송지호 해수욕장,127874,12
배알도해수욕장,2778033,12
배낭기미해수욕장,2723809,12
인구해수욕장,2704932,12
물치해수욕장,2704383,12
송전해수욕장,125704,12
무창포해수욕장,125841,12
일산해수욕장(울산),126091,12
명장섬해수욕장 (장고도),2783140,12
독산해수욕장(홀뫼해수욕장),129583,12
임랑해수욕장,1939570,12
신덕해수욕장 / 신덕해변,2752501,12
원안해수욕장,2758242,12
오포리해수욕장,2756132,12
선녀바위해수욕장,129255,12
용한 1리 해수욕장,2736413,12
조사리간이해수욕장,2756533,12
동개해수욕장,3012090,12
신창 간이 해수욕장,2736409,12
오도1리해수욕장,2732554,12
용두해수욕장,129641,12
땅끝송호해수욕장,126302,12
연대도 해수욕장,2022592,12
증산해변(증산 해수욕장),127727,12
중문색달해수욕장,126449,12
제부도해수욕장,1932056,12
구영해수욕장,126083,12
구조라해수욕장,583071,12
의항해수욕장,125840,12
백리포해수욕장,1626917,12
대진 해수욕장,2774430,12
오시아노해수욕장,3077071,12
월포해수욕장,126090,12
장경리해수욕장,128997,12
여차해변 (여차몽돌해수욕장),126579,12
풍류해수욕장,126279,12
미라리해수욕장,799776,12
왕산해수욕장,129256,12
오보 해수욕장,127161,12
덕동해수욕장,127100,12
도구해수욕장,1621384,12
남호해수욕장,127159,12
화진해수욕장,126094,12
후정해수욕장,126694,12
하저해수욕장 (하저리 해수욕장),127160,12
경정해수욕장,1621219,12
발포해수욕장,127545,12
예송해수욕장,126309,12
격포해수욕장,126288,12
신지명사십리해수욕장,147317,12
우이도 돈목해수욕장,127764,12
덕흥해수욕장,126888,12
나로우주해수욕장,127885,12
봉평해수욕장,126099,12
자은 분계해수욕장,127757,12
황포해수욕장,126589,12
일광해수욕장,126098,12
칠포해수욕장,126092,12
고래불해수욕장,126103,12
수륙해수욕장,127867,12
물안해수욕장,1622212,12
금일명사십리해수욕장,126303,12
암태 추포해수욕장,126723,12
익금해수욕장,127884,12
비진도해수욕장,129589,12
진산리해수욕장,129548,12
봉암해수욕장,127099,12
톱머리 해수욕장,126275,12
속초해수욕장 대관람차(속초아이),2814180,12
해수욕장펜션,2580971,32
호도해수욕장,126683,12
